"datetime","HydroenergyGeneration","HydroPercentage","Pumped storageenergyGeneration","Pumped storagePercentage","NuclearenergyGeneration","NuclearPercentage","CoalenergyGeneration","CoalPercentage","Fuel  GasenergyGeneration","Fuel  GasPercentage","Diesel enginesenergyGeneration","Diesel enginesPercentage","Gas turbineenergyGeneration","Gas turbinePercentage","Steam turbineenergyGeneration","Steam turbinePercentage","Combined cycleenergyGeneration","Combined cyclePercentage","WindenergyGeneration","WindPercentage","Solar photovoltaicenergyGeneration","Solar photovoltaicPercentage","Thermal solarenergyGeneration","Thermal solarPercentage","Other renewablesenergyGeneration","Other renewablesPercentage","CogenerationenergyGeneration","CogenerationPercentage","Nonrenewable wasteenergyGeneration","Nonrenewable wastePercentage","Renewable wasteenergyGeneration","Renewable wastePercentage","Total generationenergyGeneration","Total generationPercentage"
2012-01-22T00:00:00.000+01:00,30719.045,0.0426077358616185,11849.459,0.0164353618146358,178249.046,0.247233866467968,182890.776,0.253672009508578,-23.165,3.21301720556219e-05,9405.225,0.0130451758027989,994.811,0.00137981647281784,6748.29,0.00935997059275773,58134.546,0.0806334109801626,120967.378,0.167783408947009,18725.474,0.025972488730545,5585.565,0.00774725510372803,10779.069,0.0149507162343803,79312.611,0.110007676995925,4423.7685,0.00613582745690656,2165.1905,0.00300314885811345,720927.089,1
2012-01-23T00:00:00.000+01:00,42006.794,0.0494427209989033,9116.869,0.0107307120450694,178551.574,0.210158281948321,200032.841,0.235442103679252,-4.229,4.97760593451531e-06,10012.619,0.0117850252434241,2831.112,0.00333226765014838,7635.981,0.00898768132926132,118229.395,0.139158036932172,145967.838,0.171806662728108,18228.146,0.0214548422096977,5000.403,0.00588556056934692,10388.145,0.0122270258218504,95129.549,0.111969119803775,4347.863,0.00511750973545981,2121.865,0.0024974716992765,849596.765,1
2012-01-24T00:00:00.000+01:00,44681.191,0.0515001694567444,10187.965,0.0117427918141077,179173.043,0.206517370510123,197239.914,0.227341500244112,-3.333,3.84166269872549e-06,9780.623,0.0112732836931883,2883.866,0.00332398453054986,7990.41,0.00920985899925687,146379.602,0.168719188976203,132870.683,0.153148618852469,19795.444,0.0228165072965825,4364.825,0.0050309587125606,10483.006,0.0120828602222369,95134.013,0.109652802016851,4438.435,0.00511580263432874,2186.734,0.00252046037798824,867586.421,1
2012-01-25T00:00:00.000+01:00,53492.098,0.0623385039099492,9127.331,0.0106367889932248,179501.117,0.209186618254247,210369.082,0.24515945964186,-0.488,5.68704370280171e-07,9607.89,0.011196821787236,3156.11,0.00367806055345277,7883.996,0.00918783397637579,211653.043,0.246655759297535,37118.144,0.0432566612899359,19327.176,0.0225234620007665,3677.356,0.00428550907433608,10416.172,0.0121387756926024,96198.923,0.112108090013003,4395.759,0.00512271998770163,2166.136,0.00252436682340412,858089.845,1
2012-01-26T00:00:00.000+01:00,46504.836,0.0535722381809995,9272.858,0.0106820666434473,179439.104,0.206708704842506,208843.114,0.240581281604125,-0.282,3.24855917501609e-07,9608.909,0.0110691877637747,3410.938,0.00392930281394009,7946.205,0.0091538004111024,214180.39,0.246729670582633,54938.109,0.0632871269680795,16374.388,0.0188628256640686,3190.98,0.00367591750223151,10351.236,0.0119243271916868,97409.525,0.112212980912308,4388.8725,0.00505585532902511,2217.4065,0.00255438873415437,868076.589,1
2012-01-27T00:00:00.000+01:00,45256.172,0.0525565418027264,12194.012,0.014161054130273,179604.036,0.208576346801324,208678.469,0.24234083871096,1.739,2.01952180566534e-06,9171.224,0.0106506537392992,3428.938,0.00398206731528148,7910.887,0.00918700908490768,165043.501,0.191667020789448,106248.978,0.123388227659952,6939.27,0.00805865847061491,929.285,0.00107918994892336,10430.904,0.0121135354116169,98658.146,0.114572902330946,4415.1,0.00512730921460209,2184.275,0.0025366250673201,861094.936,1
2012-01-28T00:00:00.000+01:00,52149.207,0.0682994980180357,17068.362,0.0223543295028458,179536.147,0.235137395592463,169066.287,0.221425083872764,-17.294,2.26498462138438e-05,9286.43,0.0121623806739693,2633.644,0.00344926746744608,7274.165,0.0095269294890786,80090.904,0.104894567984719,126223.588,0.165314262562715,16029.726,0.0209940342748962,4256.189,0.00557430474771908,10962.898,0.0143580405781228,82210.184,0.107670176061744,4556.343,0.00596741460896981,2175.825,0.00284966471829749,763502.605,1
2012-01-29T00:00:00.000+01:00,31591.004,0.0412421528592714,8627.773,0.0112635841805184,179629.514,0.234506882858951,132903.08,0.173505379595659,-21.713,2.83463882639932e-05,9618.34,0.0125567724448531,1952.318,0.00254875715206478,6362.369,0.00830609229276442,63008.348,0.0822575920545662,206758.171,0.269923427988721,20836.877,0.0272026069935554,6260.747,0.00817342445929307,11106.481,0.0144995450961481,80591.681,0.105212687351996,4531.329,0.00591566394261004,2188.493,0.00285708434076503,765944.812,1
2012-01-30T00:00:00.000+01:00,59478.941,0.066973395566628,18031.651,0.0203036717674981,179323.054,0.201918084415084,167240.577,0.188313193373972,6.623,7.45751002590609e-06,10005.723,0.0112664622661844,2505.894,0.00282164119415037,7669.505,0.00863587655612818,189447.855,0.213318628725488,108443.425,0.122107493459323,22954.868,0.0258472230489734,7020.806,0.00790544030423398,11165.09,0.0125719116133389,98209.719,0.110584321921172,4451.576,0.00501248265907941,2142.728,0.00241271561872108,888098.035,1
2012-01-31T00:00:00.000+01:00,49588.07,0.0545628036695962,10289.636,0.0113219044197447,177466.495,0.195270143093215,191909.26,0.211161823312694,19.483,2.14375575394393e-05,9798.931,0.0107819713153773,2769.727,0.00304758927942507,7439.856,0.00818623112894024,191936.872,0.211192205381101,124599.927,0.137099938637398,20973.636,0.0230777359011064,6780.031,0.00746021170670236,9866.588,0.0108564157454161,98735.829,0.108641123820343,4483.24,0.00493300392460688,2167.968,0.00238546110679377,908825.549,1
